Daytime_dd_mm_yyyy_hh_ss,Daynum_d,VehId,Trip,Timestamp,Latitude,Longitude,HV Battery Soc,Distance,Stop_d,Stop_hh_mm_ss
06-Nov-2017 19:03:50,6.7943,502,568,180400,42.255265833,-83.726041667,NaN,1.0074984882,0,00:00:00
06-Nov-2017 18:23:21,6.7662,504,163,0,42.295232778,-83.704926111,NaN,0,0,00:00:00
06-Nov-2017 18:29:38,6.7706,504,163,377800,42.259019167,-83.676779722,NaN,5.5139700455,0,00:00:00
06-Nov-2017 01:18:24,6.0544,528,679,0,42.295195556,-83.7047,NaN,0,0,00:00:00
06-Nov-2017 01:23:37,6.0581,528,679,313500,42.297908056,-83.731958333,NaN,2.9130076846,0.699593240777779,16:52:38
06-Nov-2017 18:11:02,6.7577,528,681,0,42.281291111,-83.7438475,NaN,0,0,00:00:00
06-Nov-2017 18:15:05,6.7605,528,681,242500,42.303366667,-83.734845556,NaN,2.7455642669,0,00:00:00
06-Nov-2017 16:53:24,6.7038,532,477,0,42.284855278,-83.80194,NaN,0,0,00:00:00
06-Nov-2017 16:55:13,6.705,532,477,108800,42.282774444,-83.788761667,NaN,1.1298321639,0.178203259240742,04:18:25
06-Nov-2017 21:11:49,6.8832,532,480,0,42.270429444,-83.749767778,NaN,0,0,00:00:00
06-Nov-2017 21:25:07,6.8924,532,480,797600,42.256731111,-83.757802778,NaN,5.4192103674,0,00:00:00
06-Nov-2017 16:28:07,6.6862,535,338,0,42.227742778,-83.778691667,NaN,0,0,00:00:00
06-Nov-2017 16:33:53,6.6902,535,338,346800,42.242000833,-83.767771944,NaN,2.1483132407,0.0387667870111139,01:01:36
06-Nov-2017 17:29:43,6.729,535,340,0,42.237229444,-83.763126111,NaN,0,0,00:00:00
06-Nov-2017 17:32:43,6.7311,535,340,179800,42.229237778,-83.745615556,NaN,2.3005155756,0,00:00:00
06-Nov-2017 15:27:55,6.6444,537,737,0,42.268031667,-83.75842,92.941207886,0,0,00:00:00
06-Nov-2017 15:31:57,6.6472,537,737,242000,42.274005278,-83.776740833,89.41179657,2.4689244377,0,00:00:00
06-Nov-2017 00:56:32,6.0393,543,628,0,42.297865,-83.721090556,NaN,0,0,00:00:00
06-Nov-2017 01:01:08,6.0425,543,628,275500,42.298245833,-83.719621111,NaN,2.230497767,0.465111092592594,11:14:22
06-Nov-2017 12:10:54,6.5076,543,629,0,42.304846667,-83.692943889,NaN,0,0,00:00:00
06-Nov-2017 12:13:48,6.5096,543,629,174400,42.298098333,-83.719934167,NaN,2.4281422768,0.357169342581482,08:37:13
06-Nov-2017 20:48:07,6.8668,543,630,0,42.282890278,-83.748525278,NaN,0,0,00:00:00
06-Nov-2017 20:59:40,6.8748,543,630,692800,42.242460278,-83.767109167,NaN,5.2582581286,0,00:00:00
06-Nov-2017 13:18:17,6.5544,550,444,0,42.284295278,-83.682369722,99.607872009,0,0,00:00:00
06-Nov-2017 13:20:02,6.5556,550,444,105400,42.274553333,-83.674836667,95.686302185,1.6438390778,0,00:00:00
06-Nov-2017 02:27:50,6.1027,557,386,0,42.229139444,-83.738866667,NaN,0,0,00:00:00
06-Nov-2017 02:46:57,6.1159,557,386,1146600,42.286286389,-83.752314444,NaN,7.3165150837,0,00:00:00
06-Nov-2017 14:52:18,6.6197,560,18,0,42.274735833,-83.674144167,2,0,0,00:00:00
06-Nov-2017 15:01:24,6.626,560,18,546800,42.283047222,-83.740671944,2,6.3321516065,0,00:00:00
06-Nov-2017 05:32:28,6.2309,561,319,0,42.277456111,-83.7307875,98.101272583,0,0,00:00:00
06-Nov-2017 05:41:49,6.2374,561,319,561600,42.230851111,-83.699763333,80.394935608,6.6502794683,0,00:00:00
06-Nov-2017 21:10:34,6.8823,562,252,0,42.273809722,-83.779955833,NaN,0,0,00:00:00
06-Nov-2017 21:19:56,6.8889,562,252,561900,42.255094167,-83.729138611,NaN,5.5167233795,0,00:00:00
06-Nov-2017 16:22:29,6.6823,569,305,0,42.281539167,-83.748445556,66.274528503,0,0,00:00:00
06-Nov-2017 17:29:06,6.7285,569,305,3996900,42.316976944,-83.707353333,33.725502014,24.894532274,0,00:00:00
06-Nov-2017 03:47:04,6.1577,578,102,0,42.284613611,-83.743498611,NaN,0,0,00:00:00
06-Nov-2017 03:53:14,6.162,578,102,369700,42.304913333,-83.693131389,NaN,5.2283280776,0,00:00:00
06-Nov-2017 15:30:43,6.6463,579,137,0,42.274861944,-83.67425,NaN,0,0,00:00:00
06-Nov-2017 15:38:59,6.6521,579,137,496300,42.240826389,-83.739090833,NaN,10.993565146,0,00:00:00
06-Nov-2017 16:54:44,6.7047,584,139,0,42.311810833,-83.707035,NaN,0,0,00:00:00
06-Nov-2017 16:58:00,6.707,584,139,196000,42.316354444,-83.733975278,NaN,3.0611043228,0,00:00:00
07-Nov-2017 16:27:14,7.6856,10,1585,0,42.2507675,-83.756995556,93.292686462,0,0,00:00:00
07-Nov-2017 16:31:14,7.6884,10,1585,239700,42.242347222,-83.767399444,91.585365295,1.2955110192,0,00:00:00
07-Nov-2017 15:05:24,7.6288,11,1519,0,42.295754722,-83.705117778,0,0,0,00:00:00
07-Nov-2017 15:10:20,7.6322,11,1519,296200,42.290280833,-83.712878889,72.670890808,1.4127383778,0,00:00:00
07-Nov-2017 18:30:08,7.7709,128,610,0,42.274078611,-83.776684167,NaN,0,0,00:00:00
07-Nov-2017 18:36:52,7.7756,128,610,404800,42.246874167,-83.74936,NaN,5.0812742031,0,00:00:00
